# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(OrientQuatX),%float(OrientQuatY),%float(OrientQuatZ),%float(OrientQuatW) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/10/20 14:40:37.336136 0.22636,-0.69347,-0.24388,-0.63905 -0.08905,0.81465,0.58647
03/10/20 14:40:37.345589 0.20328,-0.67216,-0.27051,-0.65856 -0.04987,0.82761,0.60013
03/10/20 14:40:37.355045 0.20236,-0.67066,-0.27128,-0.66006 0.03127,0.89029,0.61627
03/10/20 14:40:37.364494 0.20169,-0.66907,-0.27205,-0.66156 0.06672,0.90887,0.65278
03/10/20 14:40:37.376518 0.20152,-0.66727,-0.27370,-0.66274 0.06238,0.89122,0.54201
03/10/20 14:40:37.385963 0.20254,-0.66562,-0.27413,-0.66392 0.11844,0.84794,0.57230
03/10/20 14:40:37.395397 0.20373,-0.66378,-0.27416,-0.66538 0.14079,0.83475,0.60451
03/10/20 14:40:37.404614 0.20731,-0.66243,-0.27115,-0.66685 0.11810,0.73749,0.61291
03/10/20 14:40:37.414066 0.20895,-0.66111,-0.27103,-0.66770 0.10249,0.62606,0.59753
03/10/20 14:40:37.423523 0.20999,-0.66008,-0.27104,-0.66839 0.11100,0.64724,0.59335
03/10/20 14:40:37.433437 0.21031,-0.65949,-0.27099,-0.66889 0.06698,0.66658,0.58164
03/10/20 14:40:37.442879 0.21030,-0.65911,-0.27093,-0.66929 0.08468,0.70300,0.59793
03/10/20 14:40:37.452316 0.21056,-0.65871,-0.27130,-0.66944 0.11086,0.72441,0.60569
03/10/20 14:40:37.461758 0.21110,-0.65846,-0.27153,-0.66943 0.09899,0.76524,0.59876
03/10/20 14:40:37.471199 0.21174,-0.65846,-0.27100,-0.66944 0.05357,0.80042,0.60267
03/10/20 14:40:37.480412 0.21271,-0.65862,-0.26919,-0.66971 0.01404,0.82783,0.58077
03/10/20 14:40:37.490345 0.21397,-0.65884,-0.26657,-0.67014 0.00549,0.89308,0.56720
03/10/20 14:40:37.499798 0.21551,-0.65885,-0.26398,-0.67066 -0.03947,0.90702,0.56687
03/10/20 14:40:37.509251 0.21730,-0.65841,-0.26193,-0.67132 -0.05443,0.87001,0.57763
03/10/20 14:40:37.518707 0.21939,-0.65746,-0.25959,-0.67248 -0.00997,0.83556,0.58553
03/10/20 14:40:37.528145 0.22120,-0.65612,-0.25827,-0.67371 0.05123,0.83871,0.59988
03/10/20 14:40:37.537605 0.22306,-0.65459,-0.25731,-0.67494 0.11326,0.80101,0.62196
03/10/20 14:40:37.547531 0.22519,-0.65323,-0.25541,-0.67627 0.10728,0.76882,0.63656
03/10/20 14:40:37.556721 0.22725,-0.65210,-0.25773,-0.67580 0.11041,0.72774,0.65487
03/10/20 14:40:37.566158 0.22860,-0.65167,-0.25984,-0.67495 0.03533,0.77181,0.56564
03/10/20 14:40:37.575607 0.23017,-0.65137,-0.26115,-0.67420 0.00467,0.69201,0.62683
03/10/20 14:40:37.585049 0.23163,-0.65076,-0.26270,-0.67368 -0.19736,0.20552,0.73140
03/10/20 14:40:37.594490 0.23237,-0.64976,-0.26397,-0.67389 -0.01035,0.67320,0.61283
03/10/20 14:40:37.604420 0.23463,-0.64751,-0.26513,-0.67482 0.13373,0.68321,0.64110
03/10/20 14:40:37.613854 0.23548,-0.64628,-0.26696,-0.67499 0.10571,0.72476,0.65616
03/10/20 14:40:37.623295 0.23551,-0.64619,-0.26853,-0.67443 0.11496,0.74654,0.60276
03/10/20 14:40:37.632488 0.23586,-0.64649,-0.26914,-0.67379 0.03819,0.73724,0.57775
03/10/20 14:40:37.641934 0.23665,-0.64646,-0.26887,-0.67364 0.04562,0.67566,0.61368
03/10/20 14:40:37.651371 0.23688,-0.64625,-0.26881,-0.67379 0.09688,0.65844,0.64057
03/10/20 14:40:37.661297 0.23631,-0.64658,-0.26891,-0.67364 0.08730,0.68891,0.63642
03/10/20 14:40:37.670734 0.23526,-0.64766,-0.26961,-0.67268 0.05004,0.74305,0.62535
03/10/20 14:40:37.680176 0.23415,-0.64887,-0.26979,-0.67183 0.04066,0.76414,0.60234
03/10/20 14:40:37.689613 0.23314,-0.64991,-0.26979,-0.67118 0.03529,0.78700,0.61053
03/10/20 14:40:37.699059 0.23224,-0.65091,-0.26954,-0.67062 0.01950,0.78539,0.61630
03/10/20 14:40:37.708263 0.23148,-0.65181,-0.26914,-0.67016 0.03343,0.77201,0.60108
03/10/20 14:40:37.718208 0.23072,-0.65277,-0.26855,-0.66974 0.04354,0.77742,0.60048
03/10/20 14:40:37.727661 0.23002,-0.65369,-0.26789,-0.66934 0.05432,0.79390,0.59829
03/10/20 14:40:37.737133 0.22963,-0.65462,-0.26694,-0.66895 -0.00559,0.80871,0.58033
03/10/20 14:40:37.746609 0.22960,-0.65546,-0.26535,-0.66876 -0.02872,0.79612,0.58379
03/10/20 14:40:37.756065 0.22974,-0.65605,-0.26323,-0.66898 -0.02014,0.80470,0.59522
03/10/20 14:40:37.765541 0.22987,-0.65645,-0.26100,-0.66941 0.00981,0.80265,0.59997
03/10/20 14:40:37.775490 0.23002,-0.65691,-0.25892,-0.66971 0.00036,0.81436,0.59107
03/10/20 14:40:37.784706 0.23027,-0.65732,-0.25695,-0.66998 -0.00230,0.81770,0.58417
03/10/20 14:40:37.794167 0.23060,-0.65764,-0.25500,-0.67031 0.00333,0.80960,0.58494
03/10/20 14:40:37.803616 0.23101,-0.65785,-0.25323,-0.67062 0.02531,0.78966,0.60048
03/10/20 14:40:37.813068 0.23143,-0.65807,-0.25151,-0.67092 0.01827,0.80413,0.58883
03/10/20 14:40:37.822525 0.23184,-0.65840,-0.24955,-0.67118 -0.01713,0.80491,0.57454
03/10/20 14:40:37.832489 0.23419,-0.65821,-0.24925,-0.67066 -0.00948,0.81944,0.57190
03/10/20 14:40:37.841931 0.23822,-0.65739,-0.25072,-0.66950 -0.01944,0.81013,0.58238
03/10/20 14:40:37.851379 0.24193,-0.65661,-0.25217,-0.66839 -0.01476,0.81316,0.58970
03/10/20 14:40:37.860584 0.24524,-0.65595,-0.25364,-0.66728 -0.01121,0.80571,0.58286
03/10/20 14:40:37.870037 0.24821,-0.65538,-0.25520,-0.66613 -0.02719,0.81412,0.57894
03/10/20 14:40:37.879490 0.25088,-0.65488,-0.25682,-0.66501 -0.01844,0.78703,0.58504
03/10/20 14:40:37.889416 0.25327,-0.65444,-0.25859,-0.66385 -0.00794,0.77316,0.56984
03/10/20 14:40:37.898869 0.25529,-0.65402,-0.26017,-0.66287 0.00750,0.78252,0.57950
03/10/20 14:40:37.908314 0.25704,-0.65371,-0.26150,-0.66198 0.02633,0.76133,0.58523
03/10/20 14:40:37.917748 0.25868,-0.65355,-0.26253,-0.66109 0.01256,0.75562,0.58808
03/10/20 14:40:37.926945 0.26021,-0.65360,-0.26311,-0.66021 -0.00175,0.76264,0.58023
03/10/20 14:40:37.936394 0.26139,-0.65388,-0.26332,-0.65937 -0.02283,0.75588,0.57526
03/10/20 14:40:37.946312 0.26252,-0.65419,-0.26334,-0.65862 -0.01383,0.76015,0.58181
03/10/20 14:40:37.955753 0.26241,-0.65518,-0.26231,-0.65808 -0.01931,0.74413,0.56329
