# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
1077403 -0.07228,1.05681,0.08769
1257166 0.00191,0.95789,0.19612
1261985 -0.00733,0.96462,0.19070
1266553 -0.02362,0.96985,0.17575
1271368 -0.04428,0.96951,0.16826
1275937 -0.05587,0.96165,0.15758
1280505 -0.06757,0.89195,0.16148
1285325 0.04917,1.38309,0.09899
1289893 -0.07275,0.98559,0.14935
1294712 -0.08846,0.94969,0.16552
1299281 -0.06723,0.89494,0.15923
1304099 -0.05947,0.92811,0.15593
1311250 -0.07789,0.96557,0.16801
1316064 -0.08176,0.96439,0.17691
1320631 -0.08078,0.95195,0.18538
1325450 -0.07861,0.94431,0.18716
1330018 -0.05789,0.94931,0.17246
1334582 -0.05292,0.97273,0.16632
1339398 -0.05616,0.96804,0.16785
1343965 -0.05191,0.97079,0.16559
1348785 -0.04686,0.94925,0.17535
1353355 -0.03470,0.94440,0.17334
1358174 -0.02112,0.94393,0.17277
1362743 -0.01583,0.97083,0.16462
1367310 -0.01569,0.97823,0.16259
1372123 -0.01338,0.98339,0.16203
1376687 -0.01274,0.98966,0.16689
1381499 -0.01196,0.98747,0.16592
1386543 -0.03116,0.98528,0.16483
1391357 -0.03824,1.00037,0.15810
1395927 -0.05678,1.03067,0.15056
1400500 -0.06767,1.04347,0.14757
1405325 -0.07597,1.01183,0.15971
1409899 -0.06261,1.00025,0.16293
1414722 -0.05483,0.99580,0.16489
1419290 -0.05406,0.99924,0.16461
1424104 -0.05454,0.99436,0.16343
1428671 -0.05403,0.98252,0.16673
1433238 -0.04857,0.98375,0.16668
1438053 -0.04772,0.98014,0.16376
1442618 -0.05161,0.97456,0.16137
1447434 -0.04467,0.97870,0.16252
1452000 -0.02917,0.98154,0.16781
1457290 -0.02292,0.98547,0.17856
1461852 -0.00034,0.98382,0.18753
1466664 0.01227,0.97376,0.18804
1471225 0.02066,0.97150,0.17988
1475788 0.02124,0.97962,0.16726
1480599 -0.00055,0.97357,0.16302
1485167 -0.00555,0.98843,0.15603
1489977 -0.01725,0.98798,0.15365
1494543 -0.02749,0.98043,0.15132
1499355 -0.03451,0.98338,0.15085
1503924 -0.04102,0.98002,0.14748
