index,x,y,z
1,-1.46E-05,1.42E-06,3.98E-07
2,-1.46E-05,2.29E-05,8.16E-07
3,-3.46E-05,2.52E-05,8.16E-07
4,-5.82E-05,8.73E-06,-1.13E-05
5,-7.20E-05,4.86E-06,-2.93E-05
6,-8.78E-05,-3.01E-06,-3.88E-05
7,-0.000115459,-1.80E-05,-6.15E-05
8,-0.000137358,-4.59E-05,-7.86E-05
9,-0.000155706,-8.22E-05,-9.07E-05
10,-0.000150287,-0.000105971,-9.86E-05
11,-0.000139884,-0.000128875,-0.000109608
12,-0.00014961,-0.000120568,-0.000127234
13,-0.000152436,-9.00E-05,-0.000126223
14,-0.000147866,-9.23E-05,-0.000125398
15,-0.000153492,-0.000115818,-0.000128305
16,-0.000152388,-0.000138185,-0.000133793
17,-0.000150859,-0.000165861,-0.000132471
18,-0.000155243,-0.000182381,-0.000126622
19,-0.000160338,-0.000187877,-0.000129065
20,-0.000166239,-0.000196628,-0.000129873
21,-0.000161012,-0.000201221,-0.000129044
22,-0.000149553,-0.00019518,-0.000120085
23,-0.000116941,-0.000158825,-0.00010409
24,-0.000107609,-9.87E-05,-0.000100767
25,-0.000133749,-3.04E-05,-0.000104922
26,-0.00015629,-7.20E-06,-0.000103829
27,-0.000163332,-3.69E-05,-9.44E-05
28,-0.000170445,-5.09E-05,-8.24E-05
29,-0.000203573,-5.11E-05,-7.79E-05
30,-0.00023671,-5.11E-05,-7.68E-05
31,-0.000249874,-4.67E-05,-7.47E-05
32,-0.000253425,-5.03E-05,-7.33E-05
33,-0.000248619,-5.88E-05,-5.82E-05
34,-0.000253297,-4.62E-05,-4.60E-05
35,-0.000255121,-6.77E-07,-2.77E-05
36,-0.000251163,1.61E-05,-3.73E-06
37,-0.000243127,2.82E-05,3.71E-06
38,-0.000210688,9.05E-05,1.51E-05
39,-0.000181602,0.00014045,3.17E-05
40,-0.000168836,0.000129561,5.33E-05
41,-0.000153654,5.78E-05,7.30E-05
42,-0.000144907,-2.35E-06,8.59E-05
43,-0.000173106,-6.40E-05,8.72E-05
44,-0.00022727,-8.36E-05,9.58E-05
45,-0.00026895,-7.08E-05,0.000102482
46,-0.000295781,-4.89E-05,0.00010563
47,-0.000309801,-4.15E-05,0.000109468
48,-0.000353456,1.41E-05,0.000135568
49,-0.00039273,9.53E-05,0.00016569
50,-0.000397812,0.000180524,0.000170164
51,-0.000400737,0.000231899,0.000154921
52,-0.0004022,0.000247352,0.000120027
53,-0.000418089,0.000238992,7.74E-05
54,-0.000438792,0.000200095,3.11E-05
55,-0.000431482,0.000147013,-7.51E-06
56,-0.000482431,4.04E-05,2.29E-05
57,-0.000427997,-6.29E-06,5.13E-05
58,-0.000361387,-6.64E-05,3.51E-05
59,-0.000326263,-0.000124944,4.83E-05
60,-0.000295544,-0.000167784,5.89E-05
61,-0.000329816,-0.000187633,6.69E-05
62,-0.000317695,-0.000121804,2.93E-05
63,-0.000317287,-4.02E-05,-2.94E-05
64,-0.000315251,1.65E-05,-6.56E-05
65,-0.000310847,5.92E-05,-0.000100439
66,-0.000299056,6.51E-05,-0.000109579
67,-0.000299056,6.48E-05,-0.000109579
68,-0.000288259,5.56E-05,-0.00010877
69,-0.000284395,5.30E-05,-0.000112842
70,-0.000282511,3.94E-05,-0.000114726
71,-0.000280208,1.39E-05,-0.000113262
72,-0.000254716,-1.39E-05,-0.000102391
73,-0.00020142,-2.56E-05,-9.11E-05
74,-0.00012906,-1.71E-05,-8.90E-05
75,-6.84E-05,1.78E-05,-8.94E-05
76,-5.00E-05,7.11E-05,-9.30E-05
77,-5.12E-05,9.66E-05,-9.10E-05
78,-5.91E-05,0.000155372,-0.000113797
79,-7.40E-05,0.000206868,-0.000140658
80,-9.70E-05,0.000200962,-0.000157567
81,-0.000122934,0.000181707,-0.000177868
82,-0.000152711,0.000180239,-0.000199047
83,-0.000162784,0.000174782,-0.000213315
84,-0.000166351,0.00014604,-0.000218351
85,-0.000166566,0.00011243,-0.00024082
86,-0.000177152,0.000108019,-0.000250755
87,-0.000170929,8.98E-05,-0.000235302
88,-0.000167063,4.70E-05,-0.000221842
89,-0.000170828,3.04E-05,-0.000231268
90,-0.000159737,3.90E-05,-0.000233573
91,-0.000132807,3.82E-05,-0.000217701
92,-0.000103806,4.80E-05,-0.000211865
93,-8.19E-05,6.86E-05,-0.000214367
94,-6.97E-05,8.22E-05,-0.000204219
95,-6.45E-05,0.000104309,-0.000209692
96,-7.62E-05,0.000124603,-0.000211604
97,-8.69E-05,0.000137377,-0.000209336
98,-0.000107767,0.000169767,-0.0002065
99,-0.000130034,0.000199532,-0.000208117
100,-0.000142734,0.000209732,-0.000214786
101,-0.00013857,0.000231601,-0.000216449
102,-0.000134833,0.000254266,-0.000212294
103,-9.58E-05,0.00026673,-0.000183195
104,-5.50E-05,0.000252802,-0.000169258
105,-2.14E-05,0.000275033,-0.000188458
106,-4.40E-06,0.000285469,-0.000196805
107,-1.42E-06,0.000285469,-0.00020074
108,1.06E-05,0.000267193,-0.000201156
109,2.46E-05,0.000226131,-0.000186997
110,5.96E-05,0.000152611,-0.000164714
111,5.63E-05,0.000114126,-0.000156603
112,8.36E-05,0.000112252,-0.000152445
113,0.000120535,0.000114336,-0.000135408
114,0.000162865,0.000106865,-0.000117354
115,0.000202343,0.000175634,-0.000112155
116,0.000237647,0.000292908,-0.000108914
117,0.000253528,0.000309607,-9.36E-05
118,0.000215971,0.000277329,-7.24E-05
119,0.000184991,0.000288001,-8.66E-05
120,0.00024965,0.000228647,-0.000137595
121,0.000263113,0.000198251,-0.000153098
122,0.00094213,-0.000223279,-0.000276293
123,-0.000247704,0.00065742,-0.000260371
124,-1.37E-05,0.000227172,-0.000182741
125,5.29E-05,4.06E-05,-0.000210935
126,-0.000190905,9.34E-05,-0.000350939
127,-0.00023865,-0.000105574,-0.000425094
128,-0.000217735,-0.000384166,-0.000406522
129,-0.000252812,-0.000583857,-0.000381178
130,-0.000434986,-0.000676512,-0.000375341
131,-0.000500843,-0.000704953,-0.000372198
