# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/24/20 16:47:32.251221 -0.16040,0.59644,0.71265
03/24/20 16:47:32.260319 -0.18848,0.58105,0.72095
03/24/20 16:47:32.269661 -0.18164,0.56494,0.75439
03/24/20 16:47:32.279007 -0.17334,0.60742,0.75781
03/24/20 16:47:32.288353 -0.15894,0.57153,0.77344
03/24/20 16:47:32.297707 -0.10669,0.54053,0.75513
03/24/20 16:47:32.307053 -0.10669,0.49194,0.75122
03/24/20 16:47:32.314255 -0.04858,0.56226,0.78613
03/24/20 16:47:32.323605 -0.05737,0.58545,0.79883
03/24/20 16:47:32.332954 -0.07935,0.61792,0.76880
03/24/20 16:47:32.342297 -0.07642,0.63257,0.75195
03/24/20 16:47:32.351658 -0.10498,0.59888,0.78174
03/24/20 16:47:32.361008 -0.10889,0.57886,0.77930
03/24/20 16:47:32.370117 -0.13477,0.57837,0.80029
03/24/20 16:47:32.379471 -0.12305,0.55591,0.78271
03/24/20 16:47:32.388828 -0.14307,0.57666,0.78027
03/24/20 16:47:32.398190 -0.15112,0.57495,0.79370
03/24/20 16:47:32.403545 -0.15308,0.56055,0.78613
03/24/20 16:47:32.412647 -0.14282,0.55933,0.79199
03/24/20 16:47:32.422005 -0.12524,0.55786,0.79370
03/24/20 16:47:32.431362 -0.07935,0.53320,0.80859
03/24/20 16:47:32.440716 -0.06372,0.53467,0.81006
03/24/20 16:47:32.450062 -0.05469,0.51538,0.81445
03/24/20 16:47:32.459415 -0.06177,0.49756,0.80664
03/24/20 16:47:32.468769 -0.09009,0.51709,0.81323
03/24/20 16:47:32.477875 -0.11938,0.56445,0.79639
03/24/20 16:47:32.487225 -0.14795,0.57446,0.78906
03/24/20 16:47:32.492592 -0.16064,0.58398,0.78418
03/24/20 16:47:32.501957 -0.15967,0.60400,0.76563
03/24/20 16:47:32.511066 -0.13354,0.58252,0.77075
03/24/20 16:47:32.520424 -0.09619,0.55200,0.77319
03/24/20 16:47:32.529781 -0.06885,0.54346,0.78760
03/24/20 16:47:32.539135 -0.05347,0.51465,0.81030
03/24/20 16:47:32.548489 -0.04688,0.51611,0.82031
03/24/20 16:47:32.557835 -0.05493,0.51929,0.81641
03/24/20 16:47:32.567184 -0.05688,0.51514,0.81177
03/24/20 16:47:32.576286 -0.06396,0.53540,0.81226
03/24/20 16:47:32.581654 -0.08569,0.56250,0.79688
03/24/20 16:47:32.591003 -0.11572,0.59692,0.77856
03/24/20 16:47:32.600361 -0.11377,0.60083,0.74316
03/24/20 16:47:32.609718 -0.14258,0.63135,0.73022
03/24/20 16:47:32.618828 -0.15918,0.61475,0.73511
03/24/20 16:47:32.628185 -0.13086,0.57983,0.74316
03/24/20 16:47:32.637550 -0.08887,0.59595,0.75171
03/24/20 16:47:32.646908 -0.05786,0.56543,0.77466
03/24/20 16:47:32.656262 0.02539,0.53491,0.78564
03/24/20 16:47:32.665607 0.03589,0.53735,0.79785
03/24/20 16:47:32.675438 0.02759,0.52588,0.80566
03/24/20 16:47:32.684525 0.08032,0.51929,0.81152
03/24/20 16:47:32.693878 0.14282,0.47583,0.79932
03/24/20 16:47:32.703217 0.18945,0.49438,0.81738
03/24/20 16:47:32.712563 0.22656,0.50732,0.79712
03/24/20 16:47:32.721924 0.28247,0.56738,0.74780
03/24/20 16:47:32.731285 0.24658,0.58154,0.72461
03/24/20 16:47:32.740646 0.26733,0.74951,0.50073
03/24/20 16:47:32.749744 0.19019,0.67822,0.48096
03/24/20 16:47:32.759083 0.25342,0.57422,0.50195
03/24/20 16:47:32.768433 0.37256,0.70020,0.43286
03/24/20 16:47:32.773800 0.35889,0.76709,0.39648
03/24/20 16:47:32.782902 0.36523,0.76025,0.44385
03/24/20 16:47:32.792252 0.30957,0.64893,0.42261
03/24/20 16:47:32.801598 0.19482,0.68457,0.34961
03/24/20 16:47:32.810932 0.23071,0.60474,0.35791
03/24/20 16:47:32.820278 0.30713,0.57568,0.30298
03/24/20 16:47:32.829639 0.46265,0.62646,0.23486
03/24/20 16:47:32.839008 0.71313,0.71338,0.09985
03/24/20 16:47:32.848129 0.77393,0.80957,0.16650
03/24/20 16:47:32.857494 0.64551,0.83325,0.33789
03/24/20 16:47:32.862862 0.60620,0.83887,0.37329
03/24/20 16:47:32.872223 0.61450,0.76782,0.39111
03/24/20 16:47:32.881580 0.82007,0.86353,0.37158
03/24/20 16:47:32.890694 0.88110,0.96802,0.40381
03/24/20 16:47:32.900051 0.85059,0.95581,0.47241
03/24/20 16:47:32.909409 0.74634,0.83643,0.52490
03/24/20 16:47:32.918751 0.67285,0.67725,0.52490
03/24/20 16:47:32.928093 0.68750,0.63159,0.46680
03/24/20 16:47:32.937428 0.67480,0.67163,0.46289
03/24/20 16:47:32.946777 0.61279,0.70020,0.48486
03/24/20 16:47:32.956360 0.60303,0.71631,0.46924
03/24/20 16:47:32.965713 0.58716,0.78345,0.44189
03/24/20 16:47:32.975059 0.60913,0.84766,0.41162
03/24/20 16:47:32.984417 0.65576,0.84033,0.41577
03/24/20 16:47:32.993763 0.64722,0.83276,0.43286
03/24/20 16:47:33.003109 0.64282,0.77759,0.45020
03/24/20 16:47:33.012447 0.61865,0.73047,0.47119
03/24/20 16:47:33.021545 0.61890,0.66406,0.46191
03/24/20 16:47:33.030872 0.62061,0.61426,0.46240
03/24/20 16:47:33.040218 0.64282,0.62500,0.44775
