# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/27/20 20:05:26.204699 0.04126,0.96436,0.13330
03/27/20 20:05:26.214022 0.02661,0.96094,0.14258
03/27/20 20:05:26.223087 0.00684,0.95825,0.15698
03/27/20 20:05:26.232407 0.00122,0.95605,0.15747
03/27/20 20:05:26.241730 -0.01123,0.96191,0.15796
03/27/20 20:05:26.251053 -0.01318,0.96631,0.15186
03/27/20 20:05:26.260370 -0.01147,0.96582,0.14844
03/27/20 20:05:26.267813 -0.00439,0.97241,0.15576
03/27/20 20:05:26.276894 -0.00977,0.96313,0.15869
03/27/20 20:05:26.286219 0.00171,0.97070,0.15674
03/27/20 20:05:26.295519 0.00977,0.97559,0.15332
03/27/20 20:05:26.304838 0.00195,0.96533,0.15283
03/27/20 20:05:26.314138 0.01611,0.97168,0.14160
03/27/20 20:05:26.323452 0.02271,0.98486,0.13818
03/27/20 20:05:26.332758 0.01196,0.98755,0.13843
03/27/20 20:05:26.341825 0.01318,0.99365,0.13892
03/27/20 20:05:26.351135 0.00488,0.98633,0.14453
03/27/20 20:05:26.360460 -0.00171,0.97168,0.15186
03/27/20 20:05:26.365808 -0.00879,0.96973,0.15283
03/27/20 20:05:26.374886 -0.01807,0.95776,0.15918
03/27/20 20:05:26.384213 -0.02100,0.95776,0.14746
03/27/20 20:05:26.393538 -0.01904,0.94946,0.15283
03/27/20 20:05:26.402855 -0.01538,0.95898,0.15527
03/27/20 20:05:26.412178 -0.00781,0.95313,0.15698
03/27/20 20:05:26.421497 -0.01001,0.95801,0.15381
03/27/20 20:05:26.430820 -0.00439,0.95947,0.15674
03/27/20 20:05:26.439886 0.00024,0.96094,0.15771
03/27/20 20:05:26.449202 0.00146,0.96045,0.15967
03/27/20 20:05:26.454552 -0.01025,0.96484,0.15869
03/27/20 20:05:26.463875 -0.00928,0.97998,0.14697
03/27/20 20:05:26.472948 -0.00952,0.97412,0.15039
03/27/20 20:05:26.482273 -0.00830,0.96680,0.15918
03/27/20 20:05:26.491579 0.00000,0.96948,0.15601
03/27/20 20:05:26.500896 -0.00488,0.97412,0.15552
03/27/20 20:05:26.510220 -0.00684,0.97266,0.16284
03/27/20 20:05:26.519539 -0.00146,0.96387,0.16162
03/27/20 20:05:26.528864 -0.00220,0.95703,0.16406
03/27/20 20:05:26.537930 0.00049,0.94385,0.16797
03/27/20 20:05:26.543278 0.00415,0.93799,0.16162
03/27/20 20:05:26.552586 -0.00439,0.94385,0.16040
03/27/20 20:05:26.561901 -0.01172,0.94287,0.16650
03/27/20 20:05:26.570963 -0.01514,0.96191,0.16333
03/27/20 20:05:26.580277 -0.00928,0.97241,0.15430
03/27/20 20:05:26.589598 -0.00342,0.97192,0.15991
03/27/20 20:05:26.598915 -0.00415,0.97461,0.15991
03/27/20 20:05:26.608225 0.00220,0.98193,0.15479
03/27/20 20:05:26.617537 -0.00806,0.98047,0.16040
03/27/20 20:05:26.626852 -0.01001,0.97314,0.16089
03/27/20 20:05:26.636395 -0.01318,0.96997,0.15723
03/27/20 20:05:26.645710 -0.01514,0.96436,0.15649
03/27/20 20:05:26.655026 -0.02148,0.98389,0.15845
03/27/20 20:05:26.664345 -0.02393,0.97705,0.15771
03/27/20 20:05:26.673660 -0.02344,0.96777,0.16211
03/27/20 20:05:26.682978 -0.02100,0.97314,0.17261
03/27/20 20:05:26.692301 -0.01343,0.96777,0.16089
