# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
230176778 0.93397,0.16494,0.00716
230355163 0.94294,0.16417,0.02015
230359744 0.93836,0.16959,0.00758
230364576 0.93375,0.16456,0.01331
230369154 0.92943,0.16374,0.00597
230373987 0.92868,0.18129,-0.00058
230378570 0.92728,0.18184,-0.00353
230383155 0.92728,0.17686,-0.01087
230387991 0.92913,0.17666,-0.01309
230392574 0.93034,0.17531,-0.01826
230397406 0.92851,0.18594,-0.02277
230401984 0.84411,0.38089,-0.08525
230409381 0.95586,0.10995,0.02301
230413954 0.91672,0.22072,-0.05499
230418780 0.90564,0.21043,-0.03342
230423359 0.85117,0.27576,-0.07451
230428185 0.98182,0.04989,0.06890
230432768 1.02304,-0.01529,0.05840
230437352 0.91120,0.21346,-0.00396
230442181 0.86863,0.26848,-0.02215
230446759 0.88688,0.22321,-0.00242
230451588 0.95660,0.11864,0.04015
230456167 0.96709,0.12076,0.03367
230460998 0.91738,0.19222,0.01464
230465582 0.90626,0.20516,0.00525
230470167 0.93734,0.16608,0.02262
230475477 0.95929,0.14739,0.02610
230480060 0.95127,0.17389,0.01312
230484892 0.94034,0.18771,0.00863
230489476 0.94831,0.17868,0.00694
230494304 0.96005,0.15670,0.01518
230498888 0.95569,0.16739,0.00823
230503723 0.94411,0.18062,-0.00314
230508308 0.94512,0.18370,0.00175
230512894 0.94610,0.17682,0.00230
230517727 0.94357,0.17711,0.00034
230522314 0.93952,0.17528,-0.00552
230527150 0.93143,0.18705,-0.00607
230531737 0.92669,0.18515,-0.00897
230536569 0.92495,0.18272,-0.00992
230541152 0.92460,0.18020,-0.00695
230546220 0.92149,0.17779,-0.00887
230551055 0.91887,0.18507,-0.00548
230555640 0.92248,0.18135,-0.00350
230560467 0.92583,0.18354,-0.00255
230565053 0.92399,0.18361,-0.00599
230569889 0.92021,0.18603,-0.00451
230574473 0.91952,0.18607,-0.00647
230579053 0.92138,0.18554,-0.00451
230583881 0.91802,0.17822,-0.00639
230588459 0.91793,0.18017,-0.00592
230593295 0.91785,0.18211,-0.00495
230597879 0.92209,0.18506,-0.00500
230602717 0.92434,0.18608,-0.00700
230607302 0.92403,0.18263,-0.00598
230612618 0.92826,0.18080,-0.01165
230617204 0.92693,0.17948,-0.00745
230621791 0.92729,0.18167,-0.00698
230626626 0.92447,0.18316,-0.00796
230631212 0.92749,0.17689,-0.00103
230636049 0.92539,0.18306,-0.00304
230640635 0.92775,0.18159,-0.00304
230645468 0.92546,0.17587,0.00047
230650057 0.92602,0.17873,0.00438
230654642 0.92461,0.17936,0.00881
230659474 0.92784,0.17375,0.00761
230664059 0.93064,0.16720,0.01577
230668894 0.93460,0.16600,0.01477
230673476 0.93579,0.16492,0.01920
230678783 0.93825,0.17169,0.02355
230683362 0.93934,0.16749,0.02531
230687942 0.94216,0.16633,0.02235
230692769 0.94310,0.16033,0.02756
230697344 0.94028,0.15630,0.03254
230702176 0.93146,0.16366,0.03203
230706756 0.92774,0.15933,0.02816
230711586 0.92181,0.16370,0.02963
230716160 0.91694,0.15934,0.02724
230720986 0.91333,0.15249,0.02659
230725565 0.91301,0.14933,0.02564
230730144 0.91328,0.15374,0.02535
