# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/26/20 14:24:19.040079 0.23120,0.71289,0.78027
03/26/20 14:24:19.049412 0.18530,0.69116,0.79102
03/26/20 14:24:19.058493 0.16772,0.69287,0.79150
03/26/20 14:24:19.067825 0.16772,0.71802,0.79199
03/26/20 14:24:19.077160 0.14429,0.72070,0.79199
03/26/20 14:24:19.086494 0.11670,0.70142,0.77783
03/26/20 14:24:19.095827 0.09570,0.69556,0.75049
03/26/20 14:24:19.103033 0.07178,0.68359,0.73608
03/26/20 14:24:19.112345 0.03931,0.66602,0.70947
03/26/20 14:24:19.121677 0.01367,0.63330,0.68945
03/26/20 14:24:19.131010 -0.00781,0.59082,0.67529
03/26/20 14:24:19.140343 -0.00146,0.56299,0.66602
03/26/20 14:24:19.149668 0.01074,0.53613,0.65308
03/26/20 14:24:19.158993 -0.00098,0.54614,0.63184
03/26/20 14:24:19.168068 -0.00439,0.58301,0.63306
03/26/20 14:24:19.177382 0.00098,0.58032,0.63403
03/26/20 14:24:19.186701 -0.00562,0.55273,0.63062
03/26/20 14:24:19.196030 -0.00439,0.52783,0.62451
03/26/20 14:24:19.205849 -0.00269,0.49707,0.62598
03/26/20 14:24:19.215193 -0.00781,0.47778,0.63281
03/26/20 14:24:19.224539 -0.01392,0.47119,0.62988
03/26/20 14:24:19.233639 -0.02100,0.46069,0.62891
03/26/20 14:24:19.242979 -0.01489,0.45532,0.62988
03/26/20 14:24:19.252319 -0.00146,0.46240,0.64038
03/26/20 14:24:19.261635 0.03687,0.50513,0.65918
03/26/20 14:24:19.270948 0.04785,0.57593,0.66309
03/26/20 14:24:19.280254 0.01709,0.65625,0.65820
03/26/20 14:24:19.289566 -0.00806,0.68213,0.65942
03/26/20 14:24:19.299381 -0.01611,0.64819,0.67017
03/26/20 14:24:19.308470 -0.02466,0.63135,0.68457
03/26/20 14:24:19.317804 -0.06348,0.63110,0.68994
03/26/20 14:24:19.327127 -0.10229,0.63110,0.69116
03/26/20 14:24:19.336466 -0.11768,0.63623,0.69360
03/26/20 14:24:19.345806 -0.12183,0.63208,0.69531
03/26/20 14:24:19.355148 -0.11621,0.62207,0.71289
03/26/20 14:24:19.364483 -0.12183,0.63721,0.72754
03/26/20 14:24:19.373577 -0.12402,0.69189,0.74951
03/26/20 14:24:19.382919 -0.11597,0.72607,0.79834
03/26/20 14:24:19.388287 -0.09961,0.75073,0.81348
03/26/20 14:24:19.397619 -0.06079,0.82520,0.82715
03/26/20 14:24:19.406750 -0.02612,0.88477,0.84692
03/26/20 14:24:19.416119 -0.01123,0.87207,0.87207
03/26/20 14:24:19.425451 0.00659,0.78784,0.89526
03/26/20 14:24:19.434761 0.01685,0.71729,0.91040
03/26/20 14:24:19.444099 -0.01611,0.64526,0.91187
03/26/20 14:24:19.453442 -0.07935,0.62231,0.92188
03/26/20 14:24:19.462790 -0.12939,0.63770,0.92993
03/26/20 14:24:19.471876 -0.18555,0.68359,0.93652
03/26/20 14:24:19.477238 -0.21411,0.69873,0.94434
03/26/20 14:24:19.486574 -0.26514,0.76367,0.97485
03/26/20 14:24:19.495918 -0.31226,0.86108,1.01099
03/26/20 14:24:19.505014 -0.31836,0.96338,1.01636
03/26/20 14:24:19.514355 -0.32178,1.02344,0.99854
03/26/20 14:24:19.523693 -0.32349,1.04150,0.95776
03/26/20 14:24:19.533037 -0.34204,1.03174,0.90796
03/26/20 14:24:19.542385 -0.36621,0.98633,0.85400
03/26/20 14:24:19.551729 -0.35767,0.92432,0.80884
03/26/20 14:24:19.561071 -0.41577,0.80273,0.84351
03/26/20 14:24:19.570643 -0.35400,0.74976,0.87573
03/26/20 14:24:19.580031 -0.27661,0.67993,0.85693
03/26/20 14:24:19.589380 -0.23560,0.61157,0.87231
03/26/20 14:24:19.598722 -0.19971,0.56152,0.88477
03/26/20 14:24:19.608065 -0.23975,0.53833,0.89404
03/26/20 14:24:19.617407 -0.22559,0.61523,0.85010
03/26/20 14:24:19.626751 -0.22510,0.71313,0.77979
03/26/20 14:24:19.635851 -0.22266,0.78101,0.73633
03/26/20 14:24:19.645205 -0.21753,0.83081,0.69580
03/26/20 14:24:19.654564 -0.19360,0.84277,0.67725
03/26/20 14:24:19.659933 -0.19360,0.84204,0.67725
03/26/20 14:24:19.669277 -0.18066,0.83105,0.67822
03/26/20 14:24:19.678383 -0.17603,0.82788,0.67334
03/26/20 14:24:19.687729 -0.17383,0.81201,0.67114
03/26/20 14:24:19.697077 -0.17114,0.78223,0.67285
03/26/20 14:24:19.706417 -0.14136,0.74976,0.68555
03/26/20 14:24:19.715763 -0.07910,0.73608,0.69873
03/26/20 14:24:19.725103 0.00562,0.74609,0.70117
03/26/20 14:24:19.734428 0.07861,0.78809,0.70068
03/26/20 14:24:19.743517 0.11719,0.89966,0.69312
03/26/20 14:24:19.748875 0.11475,0.95166,0.69727
03/26/20 14:24:19.758219 0.10547,1.02026,0.67065
03/26/20 14:24:19.767563 0.08765,1.08203,0.63843
03/26/20 14:24:19.776661 0.06006,1.07495,0.61816
03/26/20 14:24:19.786011 0.02979,1.05249,0.59448
03/26/20 14:24:19.795361 -0.00488,1.05078,0.56982
03/26/20 14:24:19.804728 -0.01660,1.04443,0.55322
03/26/20 14:24:19.814085 -0.02075,1.01099,0.54736
03/26/20 14:24:19.823452 -0.02100,0.97192,0.52124
03/26/20 14:24:19.832817 -0.03271,0.96704,0.51025
03/26/20 14:24:19.842661 -0.02563,0.94629,0.52783
03/26/20 14:24:19.851767 -0.02100,0.89502,0.54395
03/26/20 14:24:19.861118 -0.02539,0.87573,0.53296
03/26/20 14:24:19.870472 -0.01245,0.88574,0.53027
03/26/20 14:24:19.879816 0.01904,0.88477,0.54883
03/26/20 14:24:19.889149 0.05298,0.89624,0.55566
03/26/20 14:24:19.898485 0.07861,0.92041,0.55273
03/26/20 14:24:19.907812 0.09326,0.93677,0.56494
03/26/20 14:24:19.916899 0.09961,0.96338,0.55835
03/26/20 14:24:19.926220 0.07568,1.00488,0.55444
03/26/20 14:24:19.931570 0.05371,1.03101,0.55908
03/26/20 14:24:19.940888 0.02856,1.07007,0.56250
03/26/20 14:24:19.949963 0.00171,1.10596,0.56055
03/26/20 14:24:19.959282 -0.01318,1.11792,0.55273
03/26/20 14:24:19.968615 -0.00830,1.14355,0.55078
03/26/20 14:24:19.977938 -0.00391,1.17017,0.55566
03/26/20 14:24:19.987251 0.04199,1.18481,0.58984
03/26/20 14:24:19.996573 0.08984,1.16846,0.60620
03/26/20 14:24:20.005892 0.13037,1.19531,0.58301
03/26/20 14:24:20.014952 0.16626,1.21729,0.56543
03/26/20 14:24:20.020296 0.17236,1.21729,0.55737
03/26/20 14:24:20.029612 0.18652,1.19580,0.55688
03/26/20 14:24:20.038921 0.20337,1.14624,0.57397
03/26/20 14:24:20.047997 0.24561,1.05762,0.60083
03/26/20 14:24:20.057318 0.24170,1.01245,0.61035
03/26/20 14:24:20.066639 0.27368,1.01025,0.61523
03/26/20 14:24:20.075962 0.31714,1.01270,0.63525
03/26/20 14:24:20.085270 0.36694,1.00391,0.65649
03/26/20 14:24:20.094582 0.41333,1.08472,0.66260
03/26/20 14:24:20.103901 0.45581,1.22583,0.66650
03/26/20 14:24:20.112995 0.48901,1.26074,0.69849
03/26/20 14:24:20.118359 0.41260,1.19507,0.74170
03/26/20 14:24:20.127703 0.37646,1.20752,0.72510
03/26/20 14:24:20.137058 0.45386,1.13647,0.66406
03/26/20 14:24:20.146164 0.46997,1.10010,0.64551
03/26/20 14:24:20.155523 1.26123,0.60889,0.50195
03/26/20 14:24:20.164873 -0.12573,1.63550,0.52051
03/26/20 14:24:20.174229 0.14722,1.13354,0.61108
03/26/20 14:24:20.183571 0.22510,0.91553,0.57813
03/26/20 14:24:20.192911 -0.05933,0.97705,0.41479
03/26/20 14:24:20.202269 -0.11230,0.75635,0.33252
03/26/20 14:24:20.212091 -0.08838,0.43774,0.35376
03/26/20 14:24:20.221169 -0.13062,0.19727,0.38428
03/26/20 14:24:20.230497 -0.34375,0.08887,0.39111
03/26/20 14:24:20.239841 -0.42065,0.05566,0.39478
03/26/20 14:24:20.249187 -0.28735,0.00098,0.38623
03/26/20 14:24:20.258518 -0.10718,0.19263,0.34766
03/26/20 14:24:20.267862 -0.12036,0.29419,0.31299
03/26/20 14:24:20.277210 -0.17944,0.04297,0.34106
03/26/20 14:24:20.286322 -0.17432,-0.04834,0.29614
03/26/20 14:24:20.295696 -0.27661,-0.04346,0.37939
03/26/20 14:24:20.301071 -0.22119,0.00928,0.50635
03/26/20 14:24:20.310444 -0.24048,-0.17065,0.27173
03/26/20 14:24:20.319569 -0.18579,-0.18042,0.22803
03/26/20 14:24:20.328941 -0.27832,-0.26099,0.25244
03/26/20 14:24:20.338324 -0.36353,-0.48682,0.20923
03/26/20 14:24:20.347700 -0.44482,-0.40698,-0.00879
03/26/20 14:24:20.357061 -1.79468,-1.06396,-0.36328
03/26/20 14:24:20.366427 -1.24072,-0.51489,-0.21167
03/26/20 14:24:20.375807 0.17383,-1.22241,0.20581
03/26/20 14:24:20.384924 0.89331,-1.68286,0.87598
03/26/20 14:24:20.390293 0.72778,-1.40601,0.89307
03/26/20 14:24:20.399658 -0.46484,-0.39404,0.70288
03/26/20 14:24:20.409029 -0.82642,0.91406,0.36230
03/26/20 14:24:20.418388 0.58716,0.22876,1.64746
03/26/20 14:24:20.427500 1.05127,-0.19580,0.21704
03/26/20 14:24:20.436848 0.50586,-0.03125,0.90796
03/26/20 14:24:20.446203 -0.06641,0.37842,1.19556
03/26/20 14:24:20.455572 -0.67310,-0.46216,1.45288
03/26/20 14:24:20.464932 -0.51147,0.01074,0.76685
03/26/20 14:24:20.474279 0.07422,1.07080,0.93335
03/26/20 14:24:20.484100 -0.10840,0.53540,1.00513
03/26/20 14:24:20.493198 -0.30176,-0.13916,1.04858
03/26/20 14:24:20.502550 -0.54688,-0.08276,0.85864
03/26/20 14:24:20.511888 -0.55957,0.13867,0.78198
03/26/20 14:24:20.521227 -0.51147,0.01074,0.71118
03/26/20 14:24:20.530565 -0.33618,0.02686,0.85352
03/26/20 14:24:20.539925 -0.28955,-0.21606,1.04810
03/26/20 14:24:20.549280 -0.20020,-0.24707,1.01440
03/26/20 14:24:20.558365 -0.13477,-0.06714,1.21826
03/26/20 14:24:20.567711 -0.20605,0.25317,0.84326
03/26/20 14:24:20.573069 -0.10986,0.52490,0.98242
03/26/20 14:24:20.582403 -0.18652,0.59766,0.77612
03/26/20 14:24:20.591486 -0.11621,0.81079,0.70703
03/26/20 14:24:20.600828 -0.01416,0.73779,0.90112
03/26/20 14:24:20.610174 -0.08154,0.85791,0.75098
03/26/20 14:24:20.619526 -0.12964,0.39282,0.69922
03/26/20 14:24:20.628855 0.07666,-0.06152,0.89990
03/26/20 14:24:20.638180 0.07544,-0.19238,1.06543
03/26/20 14:24:20.647512 -0.20337,-0.38721,1.04761
03/26/20 14:24:20.656612 -0.30298,-0.52954,0.53418
03/26/20 14:24:20.661964 -0.13599,-0.13916,0.55542
03/26/20 14:24:20.671309 -0.39111,-0.00342,0.34595
03/26/20 14:24:20.680639 -0.05151,0.19653,0.80469
03/26/20 14:24:20.689972 -0.06982,0.17212,0.63696
03/26/20 14:24:20.699047 0.00537,0.22437,0.81055
03/26/20 14:24:20.708363 0.08789,0.23682,0.97534
03/26/20 14:24:20.717678 0.14258,0.14868,0.98120
03/26/20 14:24:20.726996 0.10913,0.30640,0.91870
03/26/20 14:24:20.736319 0.14307,0.19043,0.85840
03/26/20 14:24:20.745646 0.25635,-0.03613,1.08374
03/26/20 14:24:20.755466 0.37695,0.14990,1.01538
03/26/20 14:24:20.764530 0.29907,-0.02148,0.92676
03/26/20 14:24:20.773853 -0.34058,0.42725,0.67310
03/26/20 14:24:20.783178 -0.07031,-0.12573,0.68408
03/26/20 14:24:20.792486 0.03442,0.14551,0.56665
03/26/20 14:24:20.801807 -0.36182,0.00317,0.25879
03/26/20 14:24:20.811152 -0.42310,0.12988,0.23193
03/26/20 14:24:20.820505 -0.65576,-0.04004,0.15234
03/26/20 14:24:20.829611 -0.53491,-0.09546,0.23804
03/26/20 14:24:20.838966 -0.53589,-0.03198,0.21118
03/26/20 14:24:20.844332 -0.63477,0.21631,0.07446
03/26/20 14:24:20.853680 -0.65405,0.11572,0.00659
03/26/20 14:24:20.862791 -0.25586,-0.47192,0.30347
03/26/20 14:24:20.872149 -0.27539,-0.52490,0.44214
03/26/20 14:24:20.881498 -0.43018,-0.11450,0.14380
03/26/20 14:24:20.890867 -0.43896,0.08423,0.15503
03/26/20 14:24:20.900232 -0.64063,0.20605,0.14404
03/26/20 14:24:20.909594 -0.60278,0.48486,0.17944
03/26/20 14:24:20.918945 -0.48511,0.36646,0.39063
03/26/20 14:24:20.928057 -0.47974,0.52466,0.41748
03/26/20 14:24:20.933430 -0.39136,0.67065,0.31006
03/26/20 14:24:20.942772 -0.28589,0.47852,0.27148
03/26/20 14:24:20.952099 0.15430,0.49219,0.51758
03/26/20 14:24:20.961411 0.29858,0.44727,0.55542
03/26/20 14:24:20.970474 0.17529,0.67480,0.49414
03/26/20 14:24:20.979788 0.00415,0.54565,0.58081
03/26/20 14:24:20.989121 -0.26245,0.73901,0.51294
03/26/20 14:24:20.998444 -0.43945,0.71631,0.46021
03/26/20 14:24:21.007769 -0.49854,0.90234,0.50195
03/26/20 14:24:21.017097 -0.31665,0.98169,0.53857
03/26/20 14:24:21.026899 -0.23926,0.92554,0.50269
03/26/20 14:24:21.035978 -0.23096,0.96240,0.51660
03/26/20 14:24:21.045311 -0.61938,0.92896,0.74854
03/26/20 14:24:21.054642 0.12891,1.68091,-0.15405
03/26/20 14:24:21.063957 -0.20386,1.28174,0.44727
03/26/20 14:24:21.073282 -0.79468,1.23218,0.16089
03/26/20 14:24:21.082605 -0.72388,1.21265,0.30396
03/26/20 14:24:21.091925 -0.58643,1.06958,0.27466
03/26/20 14:24:21.101006 -0.37476,1.11084,0.29150
03/26/20 14:24:21.110346 -0.13379,1.15576,0.25708
